genome_id,superkingdom,phylum,class,order,family,genus,species
GB_GCA_003221895.1,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2-71-9,20CM-2-65-7,20CM-2-65-7 sp003221895
RS_GCF_902506095.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sp902506095
GB_GCA_002428565.1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,UBA6092,UBA6092 sp002428565
RS_GCF_005938385.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_AB,Paenibacillus_AB mesophilus
RS_GCF_000961095.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_O,Paenibacillus_O beijingensis
GB_GCA_003222385.1,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,Gp7-AA6,Gp7-AA6,Gp7-AA6 sp003222385
RS_GCF_001424165.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Massilia,Massilia sp001424165
RS_GCF_001718315.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia diffusa_B
RS_GCF_900099975.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter_G,Arthrobacter_G cupressi
RS_GCF_000332215.1,Bacteria,Cyanobacteria,Cyanobacteriia,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena biceps_A
RS_GCF_902497785.1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E fluorescens_BO
GB_GCA_000634115.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634115
RS_GCF_002220365.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia sordidicola_C
GB_GCA_900549565.1,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,UMGS1202,UMGS1202 sp900549565
GB_GCA_009921245.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,RFXW01,RFXW01 lacus_A
GB_GCA_903909555.1,Bacteria,Actinobacteriota,Actinomycetia,Nanopelagicales,S36-B12,Mxb001,Mxb001 sp903909555
RS_GCF_012849095.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella sp012849095
GB_GCA_014645235.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Agrococcus,Agrococcus terreus
GB_GCA_012515255.1,Bacteria,Firmicutes_B,Dehalobacteriia,UBA4068,UBA4068,HGM13862,HGM13862 sp012515255
RS_GCF_004320525.1,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sp004320525
RS_GCF_003860465.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus sp003860465
RS_GCF_000317555.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Chroococcidiopsidaceae,Chroogloeocystis,Chroogloeocystis sp000317555
RS_GCF_009870825.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp009870825
GB_GCA_014237855.1,Bacteria,Planctomycetota,UBA1135,UBA1135,GCA-002686595,JABACD01,JABACD01 sp014237855
RS_GCF_001548435.1,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya,Leptolyngbya sp001548435
RS_GCF_002870125.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sp002870125
RS_GCF_900169535.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella sp900169535
RS_GCF_900177815.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_B,Paenibacillus_B aquistagni
RS_GCF_005049045.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Cohnella,Cohnella sp005049045
GB_GCA_011332035.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Trichormus,Trichormus sp011332035
RS_GCF_000344785.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,Corynebacterium callunae
GB_GCA_902796825.1,Bacteria,Cyanobacteria,Vampirovibrionia,Gastranaerophilales,Gastranaerophilaceae,UBA2813,UBA2813 sp902796825
RS_GCF_011605705.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_E,Paenibacillus_E aceris
RS_GCF_013179805.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Microcoleaceae,Microcoleus,Microcoleus sp013179805
GB_GCA_003242085.1,Bacteria,Cyanobacteria,Cyanobacteriia,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena frigida
GB_GCA_003249025.1,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,ULC077BIN1,ULC077BIN1 sp003249025
RS_GCF_000759855.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A marinus_N
RS_GCF_902832885.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia seminalis
RS_GCF_902363255.1,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter sp902363255
RS_GCF_001544355.1,Bacteria,Firmicutes,Alicyclobacillia,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidiphilus
RS_GCF_013359905.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus taichungensis
RS_GCF_000308835.1,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Nocardia,Nocardia vinacea
RS_GCF_900104695.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,GP183,GP183 sp900104695
RS_GCF_902833225.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia sp902833225
RS_GCF_903643055.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Rhizobacter,Rhizobacter sp903643055
RS_GCF_902459745.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea communis
RS_GCF_000745065.1,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus,Thermus caliditerrae
GB_GCA_002018045.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Synechococcus_B,Synechococcus_B spongiarum_E
RS_GCF_000971975.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_C,Paenibacillus_C algorifonticola
RS_GCF_002163975.1,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,HT-58-2,HT-58-2 sp002163975
RS_GCF_004764705.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,R196,R196 sp004764705
GB_GCA_013388795.1,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,OLB14,OLB14 sp013388795
GB_GCA_902571795.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902571795
GB_GCA_003212655.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003212655
RS_GCF_012927345.1,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia sp012927345
RS_GCF_000297115.1,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Caloramatoraceae,Caloramator,Caloramator australicus
RS_GCF_002026105.1,Bacteria,Cyanobacteria,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp002026105
RS_GCF_007829615.1,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus_E,Paenibacillus_E sp007829615
